id,title,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,is_best_movie_by_year,is_best_movie,is_best_show_by_year,is_best_show
tm47523,Osmosis Jones,2001,PG,95,tt0181739,6.3,35711,0,0,0,0
tm137143,Terminator 3: Rise of the Machines,2003,R,109,tt0181852,6.3,393998,0,0,0,0
tm14491,The Queen,1968,,68,tt0183686,7.2,1117,0,0,0,0
tm19673,The Patriot,2000,R,165,tt0187393,7.2,270231,1,1,0,0
tm119111,Blade II,2002,R,117,tt0187738,6.7,214461,0,0,0,0
tm89386,Hitler: A Career,1977,PG,150,tt0191182,7.5,2416,0,0,0,0
tm19494,The Replacements,2000,PG-13,118,tt0191397,6.6,64087,0,0,0,0
tm340430,Govindha Govindha,1993,,145,tt0192087,6.6,351,0,0,0,0
tm54903,Wild Things,1998,R,108,tt0194542,6.6,118811,0,0,0,0
tm34310,Zoolander,2001,PG-13,90,tt0196229,6.5,260975,0,0,0,0
ts58175,She's Gotta Have It,2017,TV-MA,32,tt0196291,6.8,4624,0,0,0,0
tm44776,The Other,1999,,106,tt0196355,5.9,987,0,0,0,0
ts20918,The Parkers,1999,TV-PG,19,tt0200353,6.8,2346,0,0,0,0
ts45948,Monty Python's Fliegender Zirkus,1972,TV-MA,43,tt0202477,8.1,2144,0,0,0,0
tm62176,Mann,1999,,174,tt0206921,6.1,5413,0,0,0,0
tm52815,Disco Dancer,1982,,134,tt0208903,6.5,1449,0,0,0,0
tm52871,Soldier,1998,,156,tt0211634,6.2,3025,0,0,0,0
ts34435,Cowboy Bebop,1998,TV-14,25,tt0213338,8.9,112887,0,0,1,1
ts22080,Oggy and the Cockroaches,1999,TV-Y7,9,tt0213363,7.4,4185,0,0,0,0
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,,72,tt0213984,8.1,1522,0,0,0,0
tm24877,Road Trip,2000,R,93,tt0215129,6.5,167670,0,0,0,0
tm62385,Hum Saath Saath Hain,1999,G,177,tt0216817,6.2,8454,0,0,0,0
tm48083,Te quiero,2001,,85,tt0217085,4.8,73,0,0,0,0
ts18010,Bloodline,2015,TV-MA,57,tt0219432,7.9,50028,0,0,0,1
tm35463,Blow,2001,R,124,tt0221027,7.5,255099,0,1,0,0
tm41525,Herod's Law,1999,R,120,tt0221344,7.8,5943,0,0,0,0
ts22286,Cardcaptor Sakura,1998,TV-Y7,25,tt0221735,8.0,4936,0,0,0,0
tm27601,Phir Bhi Dil Hai Hindustani,2000,PG-13,160,tt0222270,6.1,7556,0,0,0,0
ts11397,Adventures of Sonic the Hedgehog,1993,TV-Y7,22,tt0222518,6.2,3808,0,0,0,0
tm336403,Khoon Khoon,1973,,131,tt0230412,5.1,41,0,0,0,0
tm42397,Hello Brother,1999,,131,tt0233856,4.6,4230,0,0,0,0
ts19036,The Fairly OddParents,2001,TV-Y7,24,tt0235918,7.2,38046,0,0,0,0
tm344089,Lal Patthar,1971,,153,tt0237395,6.2,137,0,0,0,0
ts21567,Gilmore Girls,2000,TV-14,46,tt0238784,8.2,119054,0,0,1,1
ts20981,Survivor,2000,TV-PG,48,tt0239195,7.4,24368,0,0,0,0
tm371359,Jaal,1986,,159,tt0239495,5.2,122,0,0,0,0
tm311264,Muqaddar Ka Faisla,1987,,172,tt0239682,4.8,68,0,0,0,0
tm203186,Children of Shatila,1999,,50,tt0243174,8.2,74,0,0,0,0
tm114476,Stuart Little 2,2002,G,78,tt0243585,5.5,53746,0,0,0,0
tm46436,Thir13en Ghosts,2001,R,91,tt0245674,5.6,86492,0,0,0,0
ts21581,Girlfriends,2000,TV-PG,21,tt0247102,7.2,4482,0,0,0,0
tm25389,Fiza,2000,,170,tt0248012,6.0,4168,0,0,0,0
tm36475,Kabhi Khushi Kabhie Gham,2001,G,210,tt0248126,7.4,48818,0,1,0,0
tm21911,Sam Kinison: Live in Vegas,1991,,72,tt0249934,6.6,272,0,0,0,0
tm118637,John Q,2002,PG-13,116,tt0251160,7.0,131999,0,1,0,0
tm44486,Heist,2001,R,107,tt0252503,6.5,36361,0,0,0,0
tm111600,The Sweetest Thing,2002,R,84,tt0253867,5.1,58516,0,0,0,0
tm105329,Road to Perdition,2002,R,117,tt0257044,7.7,263212,1,1,0,0
tm152839,Tim Allen: Men Are Pigs,1990,,30,tt0259057,6.0,353,0,0,0,0
ts85138,Dogs,2018,TV-PG,50,tt0262158,8.0,1269,0,0,0,0
tm334788,Yodha,1991,,142,tt0267130,4.5,198,0,0,0,0
tm57190,The One,2001,PG-13,87,tt0267804,5.9,91584,0,0,0,0
tm356209,Singapore,1960,,158,tt0268639,6.4,82,0,0,0,0
tm51493,Vizontele,2001,,110,tt0270053,8.0,36291,0,1,0,0
