id,country,production_id
tm290157,GB,3
tm305437,US,2
tm280060,US,2
ts38734,GB,3
tm242765,AU,19
tm226320,TR,28
tm421855,US,2
ts42260,US,2
tm232954,US,2
tm236659,US,2
tm230478,US,2
tm309251,IN,4
ts42405,US,2
tm232930,IN,4
tm244521,US,2
tm355783,US,2
ts42170,GB,3
ts41956,US,2
ts41151,JP,9
ts42075,TR,28
tm299381,ES,18
tm412550,US,2
tm549892,AE,53
ts43209,DE,17
tm247444,IN,4
tm233425,JP,9
ts42257,KR,38
tm308241,US,2
ts77755,US,2
ts56045,DE,17
tm471802,IN,4
ts87591,US,2
ts53198,US,2
tm232267,US,2
tm239290,PH,50
tm224275,QA,52
tm224275,PS,21
tm224275,AE,53
tm224275,FR,5
tm224275,JO,56
tm224275,LB,10
tm1150800,CA,20
tm1150800,ZA,37
ts38116,JP,9
ts38512,US,2
tm247767,TR,28
ts74753,AU,19
tm307997,DE,17
tm232931,US,2
tm327551,ES,18
tm327551,DK,40
tm247159,VN,78
tm310899,GB,3
tm310899,US,2
tm310899,AU,19
ts72247,US,2
tm233616,US,2
tm327053,BR,23
tm243326,US,2
tm243326,GB,3
tm375007,US,2
ts53023,US,2
ts55982,CA,20
tm239927,GB,3
tm239927,US,2
tm361588,CA,20
ts52830,US,2
tm238717,SA,45
tm299764,MX,27
tm299764,ES,18
tm321073,IN,4
tm240728,US,2
ts75324,CO,30
tm294581,US,2
ts38757,US,2
ts42089,US,2
tm244287,IN,4
tm245378,US,2
tm307515,ES,18
tm307515,US,2
tm376111,US,2
tm267135,BR,23
ts41527,US,2
tm328041,IN,4
tm328041,BD,91
tm245791,ID,51
ts75151,US,2
tm267948,ES,18
tm244307,US,2
ts38717,JP,9
tm428702,US,2
ts249161,EG,1
ts41913,US,2
tm244206,US,2
ts38758,JP,9
tm326723,US,2
tm244368,US,2
ts307925,FR,5
tm429984,LU,61
tm429984,CA,20
tm429984,FR,5
tm307910,US,2
ts85732,US,2
ts55798,KR,38
ts38703,KR,38
tm236705,MX,27
tm314939,ZA,37
ts41963,US,2
tm434625,CN,54
tm434625,US,2
tm1063652,US,2
ts57303,US,2
tm363248,US,2
tm242002,US,2
tm371630,DE,17
tm285171,US,2
ts75097,US,2
tm407295,US,2
ts53545,US,2
ts42137,US,2
tm350374,PK,92
tm345767,ES,18
tm244191,US,2
tm351101,ES,18
tm351101,FR,5
tm242422,FR,5
tm239683,US,2
tm246056,US,2
tm818786,ES,18
tm818786,MX,27
ts41485,TR,28
ts74962,CA,20
tm298084,HU,66
tm914535,US,2
ts58133,US,2
ts41289,GB,3
ts78324,US,2
ts45996,AU,19
tm314272,BR,23
tm287684,GB,3
tm287684,CA,20
tm431275,EG,1
tm244403,US,2
ts42120,CA,20
tm424879,JP,9
tm300713,JP,9
tm239739,IN,4
tm244321,MX,27
tm244321,US,2
ts74823,US,2
ts52821,GB,3
ts38769,US,2
tm374454,CA,20
ts55223,AU,19
tm354644,ES,18
ts56511,ES,18
ts66540,IE,25
ts42218,CO,30
ts56032,CO,30
ts38761,KR,38
tm244923,TR,28
tm460259,AR,12
tm460259,CA,20
tm460259,CL,39
tm310953,US,2
tm409618,US,2
ts38772,KR,38
tm361746,GB,3
tm361746,US,2
tm330869,GB,3
tm330869,US,2
ts42127,GB,3
tm266705,ES,18
ts78442,US,2
ts83224,NL,41
tm245911,ES,18
ts54050,US,2
ts39016,US,2
ts55962,US,2
tm323634,US,2
tm239947,US,2
tm270982,NL,41
tm540757,IN,4
tm321703,US,2
